,AreaNorm,PerimNorm,RazonEjes,Excentricidad,Solidez,Extension,CantDedos
10931,0.570541838915928,6.285841676910102,0.7245369299467584,0.6892359807376035,0.6012453300124533,0.37253086419753084,5.0
10932,0.6490979228591102,5.2928031822963515,0.4515817508506443,0.8922297474858517,0.740922072623419,0.6059392726059393,2.0
10933,0.5821287259950776,6.049110102733713,0.6354397830272424,0.7721504271489404,0.6472560975609756,0.4296701072657357,4.0
10934,0.5422479623708314,5.6232909553620125,0.6100664804124736,0.7923502315751142,0.633,0.4438990182328191,3.0
10935,0.6976274009882162,5.283474274259005,0.7692385995368459,0.6389616396800297,0.8324905183312263,0.600547195622435,0.0
10936,0.5543893583646686,6.227751214037683,0.7495997363101918,0.6618914075010273,0.5786830357142857,0.37936711176147797,5.0
10937,0.6008357689330357,5.801235529292604,0.6156570525446994,0.7880142090419265,0.6729942693409742,0.4499521072796935,4.0
10938,0.5483299310405693,6.075625831623198,0.7017505534818923,0.7124227401535254,0.617178924259056,0.4134191176470588,4.0
10939,0.6531895969937416,4.811610070612875,0.7811055209361951,0.6243990432111466,0.8380149812734082,0.6374643874643875,0.0
10940,0.61402654530056,5.770631196628863,0.4929142010735767,0.8700779220161823,0.6924095322153575,0.5808959644576083,3.0
10941,0.5554281625213927,6.171253330035328,0.6839945383993835,0.7294871290432849,0.6191172171879568,0.4035823170731707,4.0
10942,0.5353287041898537,6.411916057324164,0.6932315403692256,0.720714944646849,0.5756134201301953,0.36860670194003525,5.0
10943,0.5411163366552779,6.2221499128931415,0.7044693046786129,0.709734456515697,0.6233580128970624,0.41011942174732874,4.0
10944,0.639638704544243,6.090388017179497,0.4161480077718677,0.909296890804926,0.7298474945533769,0.5454249430153044,2.0
10945,0.7284367843851512,4.590884516790286,0.7902581992192831,0.6127740028482737,0.8619210977701544,0.6646825396825397,0.0
10946,0.7137112128604338,5.522704306932474,0.720911692729386,0.6930269340264138,0.8428669882839421,0.6271794871794871,0.0
10947,0.6335327243229,5.109620293006061,0.4463200535833656,0.8948734043256296,0.7290993900251166,0.5900116144018583,2.0
10948,0.5810026376575683,6.243250386177386,0.7466891838971282,0.6651731072818868,0.6124629080118694,0.39359267734553777,5.0
10949,0.5395827177899327,6.207605560707349,0.6967666659276636,0.7172978553237475,0.6170827858081471,0.40905923344947737,4.0
10950,0.5732663149000655,6.3656531780862835,0.6653366119130244,0.7465434969565388,0.6235362997658079,0.44936708860759494,4.0
10951,0.7071279503522097,5.199404905401951,0.7755679242106831,0.6312641245433895,0.840743198407432,0.6033333333333334,0.0
10952,0.6599086707531155,4.440896283800073,0.4438750878242842,0.896088671063854,0.8169014084507042,0.5658536585365853,1.0
10953,0.650073878235065,5.302162587730768,0.5117625251905278,0.8591269509278675,0.7603686635944701,0.47909407665505227,1.0
10954,0.7087894365029939,5.259517574331548,0.7738030807879934,0.6334262326135618,0.8452012383900929,0.6082887700534759,0.0
10955,0.562281701366249,5.647149869543801,0.5628849312896862,0.8265352709515821,0.6469968387776607,0.46532777567260325,3.0
10956,0.7415055071798614,4.401230594782285,0.6362300260248765,0.7714994193026881,0.90744920993228,0.67,0.0
10957,0.6672481846592392,4.794035714290316,0.4426422861128984,0.8966982806634275,0.7684964200477327,0.6276803118908382,2.0
10958,0.5796765937648343,5.927653267706162,0.5302941867836041,0.8478137032765607,0.6823873121869783,0.5021498771498771,3.0
10959,0.5477800279971416,6.055686872553274,0.7013964813294788,0.7127713349866324,0.5749919015225138,0.36764705882352944,5.0
10960,0.5202159821267465,5.069923592729909,0.47502365825584597,0.8799730246417974,0.609528257823447,0.37467700258397935,1.0
10961,0.6797079016363865,4.444948873343771,0.44056322437128054,0.8977215856442246,0.8382820784729587,0.563034188034188,1.0
10962,0.5571141727272612,6.018464399697289,0.6988496414466739,0.7152686059445468,0.626357056694813,0.4160657051282051,4.0
10963,0.5217363019561986,6.3599421887905345,0.7132914451460661,0.7008675440348457,0.5520200962947457,0.3513657561625583,5.0
10964,0.5408613079673333,5.060821392291408,0.5127853621685502,0.8585168445322834,0.621690243017773,0.4761111111111111,2.0
10965,0.5386273262514532,6.108802294675339,0.7173779021017408,0.696684250989001,0.6161768399899523,0.4097895088539926,4.0
10966,0.5607978210877852,6.098781397043094,0.6475280688447486,0.7620415999525161,0.6351538674799002,0.4146606334841629,4.0
10967,0.548973038086658,4.998978924929616,0.4687445688290175,0.883333758662771,0.6439418416801292,0.532745255279337,2.0
10968,0.6837045403792976,4.877999858902854,0.789425132806787,0.6138468536149604,0.8510054844606947,0.6465277777777778,0.0
10969,0.5599054676162979,5.820849617446563,0.5483748437893083,0.8362326414934134,0.6559701492537313,0.4795417348608838,3.0
10970,0.5505457985909689,5.157655083871628,0.4711084824573682,0.8820752789624678,0.6387820512820512,0.5266913319238901,2.0
10971,0.636042105028783,4.856749845672532,0.4858059206401762,0.8740667065338611,0.7819512195121952,0.5415540540540541,1.0
10972,0.7598522756686032,4.480551489442277,0.7289913929405006,0.6845228623053203,0.9239130434782609,0.6955810147299509,0.0
